x,y,z,a,b,c,d
261.3294508,350.1661825,12.5214991,0.999990606,0.000581462,-0.004651524,-1.66838E-06
262.081161,349.7232408,16.6965947,0.999999375,-0.00036784,-0.000789507,-0.000125214
263.1802595,349.1873271,20.2422235,0.999999894,0.000207568,0.000279486,-2.79269E-05
264.9014529,347.9445667,22.95472308,0.99998862,-0.003724692,-0.003517458,-9.12621E-06
267.0988448,346.6420429,24.92814126,0.999987408,-0.003123359,-0.004368527,-9.07897E-06
269.047322,344.6345123,26.34975775,0.999986861,-0.004828125,-0.002575301,-1.11281E-05
271.2082319,342.5369854,27.34686577,0.999989471,-0.004091819,-0.002743526,-7.70236E-06
273.2730992,340.1523499,28.06572148,0.999991058,-0.004183468,-0.001812287,-6.17989E-06
275.7036355,338.0647482,28.59379627,0.999993583,-0.002497288,-0.003076311,-0.000210392
277.7724862,335.5199924,28.95270708,0.99999354,-0.004088319,-0.000974265,-0.00155256
279.7160553,332.7887232,29.20770005,0.999994214,-0.003901563,-0.000219111,-0.001431573
281.3101564,329.804372,29.41404152,0.999992575,-0.003722906,0.001196535,0.000267023
282.5252102,326.6071397,29.54737599,0.999990062,-0.004545994,0.002758741,-0.000502945
283.8762122,323.4055439,29.63626374,0.999998394,-0.001095646,0.000493471,-0.000551136
285.9728735,320.5192719,29.68464078,1.000000657,-0.000130347,-0.000228264,-6.00361E-05
288.5697649,318.052551,29.72661443,0.999995817,0.000639512,-0.002997804,-2.55682E-05
291.2530273,315.6681712,29.755886,0.999999901,0.000121033,-0.000355349,0.000735588
293.954872,313.2045485,29.76944998,1.00000058,2.88972E-05,-0.000180607,3.59753E-05
297.2122935,311.645991,29.79403294,0.999989651,0.003386097,-0.003514361,-3.10878E-06
300.5895759,310.3097213,29.81516853,0.99999093,0.003369894,-0.003114878,-2.95027E-06
301.2284352,307.0645113,29.86300728,0.99997116,-0.003873787,0.006827162,-2.65757E-05
299.9785463,304.8046677,29.96494129,0.999934168,0.000310588,0.011306723,-2.50785E-05
298.5094066,302.4493286,29.98196435,0.999956402,-7.58315E-05,0.009598952,-1.61895E-05
297.1975246,299.6500992,29.98281152,0.999979321,-0.001665056,0.00744032,2.49822E-05
296.072683,296.5647979,29.9822894,0.999998635,-0.001593524,0.003476199,-1.35043E-07
294.3345379,293.7815747,29.98296436,0.999998583,-0.000443134,0.004056985,-2.54139E-07
292.353545,291.0718505,29.98187767,0.999998643,-0.000162485,0.003782569,-1.19058E-07
290.8190697,288.2542153,29.98150892,1.00000438,-0.001073102,0.004601693,-0.001038609
289.0168941,285.3573102,29.98245332,0.999993067,-0.000308209,0.001646387,-0.002539757
286.7945633,282.687464,29.90421159,0.999991048,0.000103261,0.003290048,-0.000245518
283.7882563,281.5259213,29.90473719,0.999973646,0.005247634,0.005473558,5.45664E-06
284.8512553,278.8517624,29.95818558,0.999952694,-0.001096813,-0.009612014,-1.65198E-05
286.3111021,276.3148946,29.98099308,0.99996799,-0.000344136,-0.008030236,-1.44116E-05
287.7304861,273.4994267,29.98131537,0.999981861,-0.001155316,-0.00616327,-6.3087E-05
289.0760112,270.4670254,29.98379516,0.999998655,-0.001246861,-0.0035405,1.52008E-07
289.4867817,267.1152608,29.9882867,1.000000173,-0.00027981,-6.36671E-05,-0.000518185
291.215881,264.1614889,29.97941992,0.999991051,-0.000453593,-0.004666275,-8.96483E-07
292.1934721,260.8184681,29.98826217,1.000001307,2.21709E-05,4.68442E-05,-0.000388679
294.0572862,257.8553026,29.96596319,0.999990634,-6.3382E-05,-0.005138582,0.000336578
296.4190534,255.2533415,29.98582153,0.999989329,0.001238657,-0.004799702,-4.21701E-06
298.3939938,252.2892351,29.9825116,1.000001651,-2.21944E-05,-8.4872E-05,-0.000207282
300.4661245,249.3119663,29.98825969,1.000000347,-4.95738E-05,-0.000387088,-2.09747E-05
303.2115441,246.9534457,29.96379148,0.999990395,0.001970199,-0.004078315,-1.08744E-05
305.7430771,244.3533384,29.98527846,1.000001056,-0.000106035,0.000487975,0.002227741
308.0143669,241.4317401,29.9572228,1.000001983,0.000913534,0.001316825,-6.46418E-05
310.7243223,238.9056568,29.99842197,1.000000574,3.08721E-05,-7.61125E-05,0.000401941
313.739553,236.7935756,29.98416995,0.99999415,0.003379711,-0.004190054,0.00060211
317.0442828,235.1716576,29.98374518,0.99999873,0.002532572,-0.002391091,5.67313E-08
320.507724,234.0688772,29.98038976,0.999998639,0.003137031,-0.002132466,6.77749E-08
324.0515016,233.1064113,29.98308252,0.999998745,0.002861594,-0.001905819,6.1645E-08
327.0286279,234.0927385,29.9794794,0.999962556,0.008872108,4.61335E-05,-2.50276E-05
330.3130023,234.89829,29.98490246,0.999998486,0.004559728,-0.000687689,3.70576E-08
333.749925,233.8643696,29.94993055,1.000001207,0.000173669,0.000179852,-0.000141831
337.0154688,232.3435561,29.99956304,0.999999176,-0.00101007,-0.000166769,-0.000381812
340.2139105,230.6684674,29.97174171,1.000000526,-2.52436E-05,-4.4264E-06,-0.002535835
343.5359478,229.3562663,29.98546202,1.000001741,0.0048887,0.003287853,-0.000150399
346.685876,227.4582319,29.96513732,0.999999302,-0.000971084,7.66775E-05,-0.000331066
349.2770214,224.8949435,29.99313516,0.99999014,-0.004288409,0.002082102,-5.98043E-06
352.0896306,222.436552,29.96246739,0.999993941,-0.003333309,0.000947929,-2.54393E-16
355.0430688,220.180255,29.98458336,1.000002879,0.002524548,-0.00026118,0.000290812
357.0524719,217.1357384,29.97869163,0.999998644,-0.002851886,0.002453502,-2.14028E-07
360.014483,214.9561416,29.98739155,1.000001353,4.7762E-05,0.005347927,-0.000115443
362.662619,212.2957493,29.9496269,1.000001626,0.000902689,-0.0002893,-0.002945353
364.8669597,209.2992179,29.99933862,0.999994657,-0.001629339,0.001462188,0.001249207
365.3801214,205.9379207,29.97464491,0.999976637,-0.002948178,0.006833218,1.32679E-05
367.2418093,202.9339992,29.98057447,1.000011716,0.009273687,-0.006041195,-0.000804927
367.8149538,199.4251317,29.98120499,0.999998565,-0.001876062,0.003665958,-1.48439E-07
367.8343899,195.917627,29.98452887,0.999998542,-0.001401204,0.004064163,-2.9069E-07
367.8375121,192.3239756,29.98098206,0.999998687,-0.001360008,0.003347426,-9.11751E-08
368.5093317,188.7500578,29.98886134,1.000005871,0.002673795,-0.002266013,1.29528E-05
367.6015569,185.3681872,29.97855761,0.999982816,-0.000357684,0.006215667,-8.15748E-06
365.8416459,182.5600547,29.98315671,0.99997537,0.001821159,0.008354347,-6.36415E-05
363.6920667,180.0917885,29.97976387,0.999969387,0.002559291,0.007575305,-1.82154E-05
361.0725823,178.4000225,29.97955879,0.999961636,0.00474517,0.00751172,-2.65104E-05
358.8930761,175.7572799,29.98700434,0.999989248,9.55509E-05,0.003405376,-0.000443877
356.9501444,172.9441106,29.98754091,1.000019539,0.000352461,-0.001999133,-0.000905974
354.8172615,170.3480109,29.98157712,1.000003156,0.000374598,0.003562604,0.000101975
352.5870127,167.7999368,29.98127231,1.000003155,0.000476285,0.003442211,0.000118715
350.4782084,165.1968937,29.98096565,1.000014645,-0.002403,-0.012676202,0.000654543
348.3494005,162.3624144,29.98763817,1.00000197,0.001558046,-0.003237422,0.001410989
346.568845,159.1937825,29.95285634,1.000002046,0.000910873,0.000144112,-0.002753052
344.3574086,156.2727533,29.99891124,1.000002102,0.000696324,-0.002238081,-3.76171E-05
342.316946,153.2692215,29.9624229,1.000005419,0.003584257,-0.002498528,5.3322E-07
339.7847449,150.5705893,29.99805682,0.999996609,-0.000424175,-0.001292648,-0.001356836
338.8595256,147.0196137,29.96954913,0.999989626,-0.00259609,-0.004176101,0.000202856
338.1949112,143.4013453,29.98660426,0.999998873,-0.001612827,-0.002981207,2.05106E-06
337.5999075,139.8014621,29.98479736,0.999993634,-0.001284374,-0.002720157,-0.000515541
335.624594,136.7662405,29.98233165,1.000003168,0.000713286,0.003223913,0.000192333
333.5885097,133.6652323,29.9875287,0.999996685,-0.000942472,-0.003942081,-0.000859763
331.7727935,130.3613705,29.94802791,1.000001349,0.000939406,-0.001777276,-8.82357E-05
330.0454789,126.9679968,29.99798544,1.00000095,0.001079146,-0.000530102,-1.79116E-05
330.238187,123.3965538,29.97066973,0.999971672,-0.001259163,-0.007274903,1.8297E-16
330.7227237,119.8457007,29.93618255,0.999984377,-0.000774457,-0.005872889,-7.04685E-06
331.5777356,116.3769476,29.99284094,0.999985356,-0.000312234,-0.005729861,-6.59751E-06
332.9870797,113.175126,29.97592226,0.999972254,0.000773006,-0.007268143,-1.00805E-15
333.6774385,109.7294373,29.97898161,1.000003408,-0.000320001,-0.003783104,-0.001074524
335.5962432,106.8329801,29.98386638,0.999998505,0.001115533,-0.004292378,1.6916E-07
337.9691415,104.3981475,29.97910521,0.999975249,0.002826016,-0.006342543,-3.5484E-05
339.4277899,101.1281579,29.98687448,1.000002558,0.000511397,0.001394724,-0.000305082
341.3682707,98.06093454,29.95928758,0.999996086,0.000100909,-0.002789449,-4.51775E-05
343.9411854,95.548851,29.99379836,0.999989495,0.002018935,-0.004475047,-4.32857E-06
346.2479641,92.62863367,29.9617408,0.99999584,0.000162262,-0.002870934,1.13243E-16
347.5150517,89.19151194,29.98442102,0.999999644,0.000634648,-0.000642395,-0.00376425
348.8051587,85.71315891,29.97777521,1.000000975,0.000957701,-0.000801675,-0.001324074
348.0809862,82.39874164,29.98348331,0.999975839,-0.000576994,0.008320203,4.52319E-06
346.9237793,79.24547146,29.97916062,0.99997086,0.00014058,0.00779914,-9.23932E-06
345.2963386,76.34092105,29.98303233,0.999978445,0.001024336,0.007874017,-2.51415E-05
343.6440114,73.31154918,29.98162664,0.999998583,0.000218476,0.004061952,-2.20647E-07
341.3376416,70.89773985,29.98122934,0.999981014,0.002508114,0.007051237,-2.64117E-05
339.2289008,68.06644856,29.98240809,0.999998887,0.000275486,0.003316447,-4.60476E-06
337.4252482,65.08109219,29.98801072,1.000012131,0.000510783,-0.003332811,0.00333503
