x,y,z,a,b,c,d
240.4565363,350.9118807,12.6571904,0.999991933,0.002982494,-0.001567109,0.000773979
240.3474593,351.4083513,16.97963806,1.000001322,-0.000585505,0.000838352,6.35876E-05
240.6897205,350.292726,20.5011785,0.99998988,-0.004801998,-0.000559075,-8.15587E-06
241.6576552,348.9903011,23.6627597,0.999988883,-0.004352649,-0.002565753,-8.29409E-06
242.287917,346.8164793,25.88599771,0.999982624,-0.006201929,-0.000816853,-2.16945E-05
242.8502723,344.2831792,27.46122281,0.999983216,-0.006124579,-0.000419904,-1.83016E-05
243.390858,341.4541062,28.2392196,0.999985321,-0.005764411,-0.000254271,-1.60583E-05
244.0115829,338.4677485,28.71560615,0.999988425,-0.005122493,-0.00047524,-9.37213E-06
243.7041769,335.353999,29.04967858,0.999988132,-0.004384159,0.002798045,-9.43889E-06
243.2098188,332.1501271,29.28345965,0.99999062,-0.003712259,0.00281477,-6.56258E-06
242.8285378,328.9008589,29.48474564,0.999993378,-0.003387981,0.002028106,-0.000441585
243.1739487,325.5817853,29.59287644,0.999998718,-0.00110411,-0.000492493,-0.000380735
243.7329355,322.2203228,29.66994219,0.999999148,-0.000810442,-0.000622751,-0.000274423
244.0151479,318.7582706,29.71214286,1.000001057,0.00029152,3.47073E-05,-0.00072024
243.3620406,315.3365333,29.74988957,0.999993701,-0.001348238,0.002825023,-5.34055E-05
241.7935354,312.246068,29.78228022,0.999986898,3.4538E-05,0.0054531,-6.40935E-06
240.6910857,308.9122988,29.80518302,0.999990489,4.21675E-05,5.01813E-06,-4.7818E-05
239.7593802,305.4648291,29.80302269,1.000005705,0.001486684,-0.002058444,-0.000324234
238.9442586,301.9118528,29.80044871,1.000001237,0.001040771,-0.000628308,-0.000737053
237.5462186,298.5757784,29.810941,0.999994803,-7.58886E-05,-0.001693096,0.000302016
236.2359022,295.1570874,29.80621311,1.000001104,0.000805986,-0.003316916,0.001030841
235.1847692,291.5659994,29.80051573,1.000001181,0.001008716,-0.000400568,-0.000154753
233.9834665,288.0015638,29.79978293,1.000001493,0.001033766,-0.001365082,-4.14503E-05
233.0585071,284.3216077,29.79882897,1.000001318,0.000958898,0.000377952,-0.000145425
232.0109158,280.6482012,29.79772913,1.000000887,0.001078279,-0.000265679,-1.56021E-05
232.9530805,277.2110725,29.83246896,0.999980323,0.000305829,-0.006598955,-6.99608E-06
233.9085956,273.6905072,29.85170863,0.999988349,-4.827E-05,-0.005159046,-5.23425E-06
235.7018949,270.7257555,29.8809474,0.999977977,0.001835212,-0.006718592,-5.10271E-06
237.3415702,267.4970899,29.88443175,0.999990191,0.000528644,-0.004728831,-4.28743E-06
239.3299168,264.485009,29.88347774,0.999989337,0.001147211,-0.004813002,-4.27159E-06
240.8845504,261.1407641,29.87007768,1.000000233,-5.0246E-05,-0.000439178,-2.47399E-05
241.9744761,257.5681172,29.84830088,1.000001363,0.001064606,0.000110616,-0.000226687
